TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
3460,1831,1629,121,121,3127,2980,18,0,292,0,21,0,999,323,193,200,612,39,0,2569,3248,109,250,76534,87,360,0,411,1160,946,3385,398,"Census Tract 176.06, San Diego County, California",6,73,17606
5528,2682,2846,215,206,4785,4257,12,0,814,0,18,196,1236,296,702,275,532,100,78,3977,5218,81,778,111445,40,637,0,715,2262,1918,5220,326,"Census Tract 177.01, San Diego County, California",6,73,17701
3682,1780,1902,75,64,3296,3142,0,0,439,0,0,274,1103,196,456,365,345,55,88,2916,3373,69,175,140814,103,526,26,328,1619,1247,3503,345,"Census Tract 177.02, San Diego County, California",6,73,17702
7009,2989,4020,367,367,5845,4542,34,0,1400,0,16,38,1321,440,609,601,974,100,29,4571,6813,14,271,98168,416,683,158,827,3185,2106,6114,848,"Census Tract 178.01, San Diego County, California",6,73,17801
5845,2821,3024,732,654,4625,4256,24,84,494,0,0,34,1893,226,995,320,572,0,0,4524,5766,16,277,145227,108,983,0,591,3491,1767,5796,317,"Census Tract 178.08, San Diego County, California",6,73,17808
2316,1120,1196,119,73,1944,1775,0,0,361,2,2,24,489,236,152,173,352,32,0,1591,2208,22,102,92250,87,172,15,306,1079,484,2190,188,"Census Tract 178.09, San Diego County, California",6,73,17809
4681,2361,2320,129,129,4306,4070,0,0,239,52,52,3,1207,245,747,336,514,82,0,3661,4552,81,177,124350,89,294,56,423,2510,1074,4595,644,"Census Tract 178.10, San Diego County, California",6,73,17810
6475,3111,3364,1027,1027,4865,4291,0,0,634,51,51,47,1889,300,609,248,1023,85,0,4725,5982,86,354,113125,125,1082,12,800,2831,1936,6267,362,"Census Tract 178.11, San Diego County, California",6,73,17811
4698,2599,2099,265,265,3710,3508,0,70,720,0,0,406,1104,238,509,329,843,23,16,3379,4632,18,235,111946,79,552,10,457,2291,1462,4394,342,"Census Tract 178.13, San Diego County, California",6,73,17813
3783,1779,2004,98,98,2876,2468,202,0,1007,38,38,303,1139,107,128,246,572,176,13,2822,3770,107,609,63378,173,441,35,263,1092,822,3244,408,"Census Tract 179.01, San Diego County, California",6,73,17901
3366,1668,1698,126,112,2481,1335,0,0,1769,3,3,514,559,149,244,609,440,165,210,2668,3270,116,963,74125,113,823,14,301,1365,719,2321,223,"Census Tract 179.02, San Diego County, California",6,73,17902
3493,1575,1918,56,35,3074,2868,31,0,519,17,63,28,1232,321,433,179,462,23,11,2876,3350,97,207,83864,119,305,104,249,1359,1216,3187,395,"Census Tract 180, San Diego County, California",6,73,18000
3142,1588,1554,103,103,2681,2185,109,26,699,0,0,177,499,168,208,407,683,116,104,2297,2946,134,379,66332,69,324,0,352,1353,510,2708,421,"Census Tract 181.01, San Diego County, California",6,73,18101
2870,1429,1441,106,89,2495,2007,23,0,637,11,11,106,803,271,143,265,681,149,0,2394,2798,84,77,68819,41,190,0,184,1132,765,2684,306,"Census Tract 181.02, San Diego County, California",6,73,18102
2680,1250,1430,0,0,1638,1295,128,0,1094,75,75,441,409,84,278,274,308,318,159,2089,2632,130,487,60899,125,571,45,261,1053,497,2360,477,"Census Tract 182.01, San Diego County, California",6,73,18201
3571,1629,1942,30,30,2087,1134,475,6,2132,58,58,559,599,335,170,204,726,146,160,2557,3306,231,287,67268,156,697,187,283,1360,640,2936,269,"Census Tract 182.02, San Diego County, California",6,73,18202
937,449,488,47,47,862,724,0,0,166,0,0,19,226,139,160,68,183,3,0,840,925,8,0,81292,16,91,0,35,506,297,916,109,"Census Tract 183.01, San Diego County, California",6,73,18301
1277,563,714,27,27,1098,941,0,0,189,91,91,32,198,121,29,198,341,0,54,1071,1258,61,60,59219,56,88,0,61,505,337,1184,145,"Census Tract 183.02, San Diego County, California",6,73,18302
3525,1909,1616,276,276,2335,1685,15,0,1304,150,150,492,547,149,229,460,832,134,145,2724,3443,292,571,62688,112,825,70,213,1162,643,3130,547,"Census Tract 184, San Diego County, California",6,73,18400
6833,3787,3046,218,218,5523,4996,0,0,1311,20,20,340,1476,396,569,812,1234,112,33,4804,6559,288,1001,65868,360,655,63,790,2655,1613,5817,739,"Census Tract 185.04, San Diego County, California",6,73,18504
6045,2981,3064,412,337,3509,965,9,91,4020,485,542,661,511,237,231,682,847,362,669,3857,5605,347,924,52596,346,2099,77,657,2039,552,5012,760,"Census Tract 185.09, San Diego County, California",6,73,18509
2783,1440,1343,192,192,2277,1246,12,0,1243,72,72,141,371,111,104,460,505,138,173,1980,2609,62,165,74940,78,569,8,352,1242,444,2534,382,"Census Tract 185.10, San Diego County, California",6,73,18510
4854,2421,2433,231,231,2854,1796,34,183,2081,252,252,619,879,227,117,704,996,210,158,3521,4477,141,429,60000,191,978,29,497,1784,887,4421,581,"Census Tract 185.11, San Diego County, California",6,73,18511
4006,2363,1643,129,129,3044,2450,0,0,1097,106,106,156,443,325,310,527,1148,234,52,3220,3795,123,393,47708,31,714,94,296,1533,402,3599,1035,"Census Tract 185.12, San Diego County, California",6,73,18512
5185,2567,2618,289,289,4096,3672,64,6,695,182,182,7,1291,134,546,419,943,114,12,3818,4694,117,286,98000,210,612,82,429,2208,1394,4884,280,"Census Tract 185.15, San Diego County, California",6,73,18515
3900,2031,1869,450,421,2524,1485,91,15,1710,72,83,126,603,281,123,520,708,120,137,2601,3685,55,244,88017,93,883,78,421,1745,676,3420,372,"Census Tract 185.16, San Diego County, California",6,73,18516
4597,2166,2431,453,447,3369,2593,135,0,1242,102,112,324,663,249,129,889,880,269,102,3349,4404,90,565,67401,73,838,0,443,1644,1028,4248,635,"Census Tract 185.17, San Diego County, California",6,73,18517
4143,2072,2071,20,20,2762,995,12,38,2887,81,84,326,247,260,68,696,680,146,330,2715,3895,207,349,90863,79,1403,47,442,1373,541,3626,502,"Census Tract 185.18, San Diego County, California",6,73,18518
5681,2913,2768,186,157,3460,1326,111,3,3701,116,124,845,240,301,119,974,827,300,380,3344,5294,222,516,65014,225,1604,28,746,2104,372,4510,497,"Census Tract 185.19, San Diego County, California",6,73,18519
5300,3009,2291,377,359,3759,1694,56,7,2893,86,86,511,433,292,199,633,905,213,280,3163,5057,131,254,73026,211,1116,13,731,2078,898,4577,609,"Census Tract 185.20, San Diego County, California",6,73,18520
4907,2586,2321,569,567,2936,1959,0,0,1408,870,960,319,741,258,236,524,889,178,160,3156,4434,18,870,85438,121,983,43,441,2054,708,4615,596,"Census Tract 185.21, San Diego County, California",6,73,18521
4580,2091,2489,359,359,2998,2106,71,28,1444,127,127,259,808,290,328,437,1112,55,76,3230,4361,29,262,108816,54,710,148,637,1713,1049,4208,663,"Census Tract 185.22, San Diego County, California",6,73,18522
5157,2581,2576,601,601,3334,2464,53,0,1373,421,454,268,1071,650,308,344,1013,138,48,3685,4945,89,192,63661,69,747,170,653,2445,1005,4801,476,"Census Tract 185.23, San Diego County, California",6,73,18523
4259,2239,2020,248,248,2778,2024,0,10,1329,512,527,94,625,149,247,468,792,18,120,2751,4075,163,1016,70948,180,883,65,523,1581,911,3984,441,"Census Tract 185.24, San Diego County, California",6,73,18524
4185,2088,2097,221,221,2969,2141,204,1,1281,258,258,150,635,207,304,257,1242,51,0,3035,4136,94,107,142008,175,536,72,424,2090,1132,3915,302,"Census Tract 185.25, San Diego County, California",6,73,18525
5091,2388,2703,570,570,3239,2325,0,46,1617,191,191,212,683,367,406,541,889,151,78,3298,4775,121,452,104643,118,906,78,666,2483,1057,4550,521,"Census Tract 186.01, San Diego County, California",6,73,18601
2914,1657,1257,303,293,1814,1510,0,1,660,239,239,256,494,165,293,220,686,67,36,2102,2643,27,109,116721,18,566,52,330,1546,434,2835,481,"Census Tract 186.08, San Diego County, California",6,73,18608
6680,3381,3299,469,469,3963,1334,1,17,4421,207,242,959,478,250,79,985,1047,362,693,4260,6401,244,610,75399,269,1998,140,879,2919,624,5433,762,"Census Tract 186.09, San Diego County, California",6,73,18609
4680,2129,2551,479,479,2874,2118,17,56,1609,114,140,204,649,271,352,529,891,153,108,3101,4258,46,450,109448,152,779,95,573,1881,954,4400,439,"Census Tract 186.12, San Diego County, California",6,73,18612
4008,1894,2114,245,245,2248,1593,0,400,1230,129,129,585,455,220,70,504,680,59,118,2310,3709,31,580,77179,124,673,141,451,1507,456,3472,568,"Census Tract 186.13, San Diego County, California",6,73,18613
3344,1513,1831,163,163,2142,506,0,0,2593,29,29,18,135,111,32,367,255,75,435,1641,3034,91,611,56332,139,1071,4,480,803,168,2460,113,"Census Tract 186.15, San Diego County, California",6,73,18615
3765,1773,1992,96,96,2621,877,0,9,2466,233,233,582,366,144,89,392,341,127,488,2165,3507,124,1435,32198,67,1170,171,392,1179,489,3145,555,"Census Tract 186.16, San Diego County, California",6,73,18616
3583,1704,1879,691,691,2074,1021,0,0,1600,147,154,228,495,194,122,462,453,275,240,2467,3465,52,431,93176,110,1103,26,356,1622,585,3306,572,"Census Tract 186.17, San Diego County, California",6,73,18617
4272,2189,2083,195,195,2788,605,0,0,3164,290,290,598,136,216,124,492,697,224,388,2502,3840,197,282,68235,151,1307,73,536,1601,349,3257,522,"Census Tract 186.18, San Diego County, California",6,73,18618
5896,3074,2822,786,748,3867,3349,69,0,1096,351,351,318,1251,348,493,382,747,100,70,3831,5481,21,419,141927,35,1125,145,688,3093,1115,5310,605,"Census Tract 186.19, San Diego County, California",6,73,18619
